Label Name,Current Color,Color Name,Current Family,Aligned,Recommended Color,Recommended Family,Priority,Notes
type:question,5319E7,Purple-Blue,Blue,NO,0969DA,Blue,2,Use primary blue from strategy
type:support,0E8A16,Dark Green,Green,NO,0DBA3D,Green,2,Semantic unclear - map to green
release:patch,3FB950,Medium Green,Green,PARTIAL,34B71C,Green,3,Use secondary green from strategy
release:minor,58A6FF,Sky Blue,Blue,NO,4986E8,Blue,3,Not in strategy; use secondary blue
release:major,F85149,Red,Red,YES,F85149,Red,3,Matches strategy
release:hotfix,D29922,Gold,Yellow,YES,D29922,Yellow,3,No change
area:core,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:labels,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:block-editor,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:theme,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:documentation,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:tests,D4C5F9,Light Purple,Purple,PARTIAL,B4A7E8,Purple,3,Standardise to strategy secondary
area:testing,D4C5F9,Light Purple,Purple,PARTIAL,B4A7E8,Purple,3,Standardise to strategy secondary
area:scripts,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:assets,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:woocommerce,D4C5F9,Light Purple,Purple,PARTIAL,B4A7E8,Purple,3,Standardise to strategy secondary
area:content,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:design-system,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:navigation,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:forms,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:plugins,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:search,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:seo,C2E0C6,Light Green,Orange,NO,F9D0C4,Orange,3,Map to orange low-priority
area:ai,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:analytics,C2E0C6,Light Green,Orange,NO,F9D0C4,Orange,3,Map to orange low-priority
area:infrastructure,006B75,Dark Teal,Teal,NO,2DA39D,Teal,1,Critical: implement teal family
area:automation,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
area:performance,D29922,Gold,Yellow,YES,D29922,Yellow,3,No change
area:a11y,DB61A2,Magenta,Purple,NO,8957E5,Purple,1,Use primary purple - semantic mismatch
area:security,9F3734,Dark Red,Red,PARTIAL,EF3B39,Red,3,Use primary red from strategy
area:compatibility,8D4821,Brown,Red,NO,F85149,Red,3,Not in strategy; map to secondary red
area:release,3FB950,Medium Green,Green,PARTIAL,34B71C,Green,3,Use secondary green from strategy
area:maintenance,9198A1,Medium Gray,Gray,NO,B1BAC4,Gray,3,Use secondary gray from strategy
area:i18n,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
area:ci,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
area:deployment,006B75,Dark Teal,Teal,NO,2DA39D,Teal,1,Critical: implement teal family
area:dependencies,F9D0C4,Light Salmon,Orange,YES,F9D0C4,Orange,3,No change
area:integration,D93F0B,Orange-Red,Teal,NO,2DA39D,Teal,1,Critical semantic mismatch
comp:block-editor,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:block-inserter,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:block-variations,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:block-supports,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:block-locking,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:block-bindings,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:block-templates,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:block-patterns,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:template-parts,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:block-json,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:theme-json,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:wp-admin,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:settings,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:post-settings,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:style-variations,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:block-styles,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:color-palette,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:typography,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:section-styles,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
comp:spacing,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
lang:php,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
lang:js,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
lang:css,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
lang:html,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
lang:md,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
lang:json,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
lang:yaml,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
env:prototype,E1E4E8,Very Light Gray,Gray,YES,E1E4E8,Gray,3,No change
env:staging,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
env:live,0E8A16,Dark Green,Green,NO,0DBA3D,Green,2,Standardise to primary green
compat:wordpress,D93F0B,Orange-Red,Red,NO,F85149,Red,3,Not in strategy; map to secondary red
compat:php,D93F0B,Orange-Red,Red,NO,F85149,Red,3,Not in strategy; map to secondary red
compat:woocommerce,D93F0B,Orange-Red,Red,NO,F85149,Red,3,Not in strategy; map to secondary red
compat:gutenberg,D93F0B,Orange-Red,Red,NO,F85149,Red,3,Not in strategy; map to secondary red
compat:rtl,D93F0B,Orange-Red,Red,NO,F85149,Red,3,Not in strategy; map to secondary red
compat:multisite,F9D0C4,Light Salmon,Orange,YES,F9D0C4,Orange,3,No change
cpt:posts,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
cpt:pages,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
ai-ops:instructions,0052CC,Strong Blue,Blue,NO,0969DA,Blue,2,Use primary blue from strategy
ai-ops:chat-modes,0052CC,Strong Blue,Blue,NO,0969DA,Blue,2,Use primary blue from strategy
ai-ops:agents,0052CC,Strong Blue,Blue,NO,0969DA,Blue,2,Use primary blue from strategy
ai-ops:prompts,0052CC,Strong Blue,Blue,NO,0969DA,Blue,2,Use primary blue from strategy
ai-ops:datasets,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
ai-ops:evaluations,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
ai-ops:tools,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
contrib:good-first-issue,D4C5F9,Light Purple,Purple,PARTIAL,B4A7E8,Purple,3,Standardise to strategy secondary
contrib:help-wanted,C2E0C6,Light Green,Orange,NO,F9D0C4,Orange,3,Map to orange low-priority
contrib:discussion,C2E0C6,Light Green,Orange,NO,F9D0C4,Orange,3,Map to orange low-priority
discussion:announcement,FBCA04,Gold Yellow,Yellow,YES,FBCA04,Yellow,3,No change
discussion:showcase,0E8A16,Dark Green,Green,NO,0DBA3D,Green,3,Standardise to primary green
discussion:community,6f42c1,Purple,Purple,PARTIAL,8957E5,Purple,2,Not exact match; use primary purple
discussion:feedback,1d76db,Dark Blue,Blue,NO,0969DA,Blue,3,Use primary blue from strategy
discussion:support,d73a4a,Red,Red,PARTIAL,F85149,Red,3,Not exact match; use secondary red
discussion:sponsorship,f9d0c4,Light Salmon,Orange,YES,F9D0C4,Orange,3,No change
discussion:partnership,bfd4f2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
meta:needs-changelog,E1E4E8,Very Light Gray,Gray,YES,E1E4E8,Gray,3,No change
meta:no-changelog,E1E4E8,Very Light Gray,Gray,YES,E1E4E8,Gray,3,No change
meta:has-pr,E1E4E8,Very Light Gray,Gray,YES,E1E4E8,Gray,3,No change
meta:no-issue-activity,E1E4E8,Very Light Gray,Gray,YES,E1E4E8,Gray,3,No change
meta:no-pr-activity,E1E4E8,Very Light Gray,Gray,YES,E1E4E8,Gray,3,No change
meta:stale,9198A1,Medium Gray,Gray,NO,B1BAC4,Gray,3,Use secondary gray from strategy
meta:dependabot-security,B60205,Dark Red,Red,PARTIAL,EF3B39,Red,3,Use primary red from strategy
