skill_name,agents_count,agents_list,current_location,tier_target,consolidation_priority,override_needed,phase_c_week,estimated_hours,notes
markdown-content-validator,2,"prd-agent, prd-factory-planner-agent",agent-attached (duplicated),Tier 1,CRITICAL,yes,7,—,"Part of 23-skill lightspeed cluster; see lightspeed-prd-generator"
content-file-validator,2,"prd-agent, prd-factory-planner-agent",agent-attached (duplicated),Tier 1,CRITICAL,yes,7,—,"Part of 23-skill lightspeed cluster; see lightspeed-prd-generator"
evidence-locker,2,"prd-agent, prd-factory-planner-agent",agent-attached (duplicated),Tier 1,CRITICAL,yes,7,—,"Part of 23-skill lightspeed cluster; see lightspeed-prd-generator"
wordpress-plugin-packaging-review,2,"prd-agent, prd-factory-planner-agent",agent-attached (duplicated),Tier 1,CRITICAL,yes,7,—,"Part of 23-skill lightspeed cluster; see lightspeed-prd-generator"
figma-use,4,"design-partner, (prd?), others",root (2023-09) + agent-specific (2026-07),Tier 1,CRITICAL,yes,5,8,"Version conflict: root 2023-09 archived; design-partner has 2026-07 active; audit & promote active version to root"
figma-code-connect,2,"design-partner, (others?)",root (archived .zip) + agent-specific,Tier 1,CRITICAL,yes,5,4,"Archived in root; design-partner has active 2026-07 version; promote to root during figma audit"
figma-generate-design,1+,"design-partner",root + agent-specific,Tier 1,MEDIUM,yes,5,—,"Part of figma audit; determine versioning strategy"
figma-generate-library,1+,"design-partner",root + agent-specific,Tier 1,MEDIUM,yes,5,—,"Part of figma audit; determine versioning strategy"
audit-design-system,1+,"design-partner",root + agent-specific,Tier 1,MEDIUM,yes,5,—,"Part of figma audit; determine versioning strategy"
apply-design-system,1+,"design-partner",root + agent-specific,Tier 1,MEDIUM,yes,5,—,"Part of figma audit; determine versioning strategy"
linear-triage-router,1,"linear-advisor-agent",agent-attached,Tier 2,N/A,no,—,—,"Linear-specific; keep local (specialized domain)"
linear-decision-logger,1,"linear-advisor-agent",agent-attached,Tier 2,N/A,no,—,—,"Linear-specific; keep local (specialized domain)"
woocommerce-audit-orchestrator,1,"woo-config-agent",agent-attached,Tier 2,N/A,no,—,—,"WooCommerce-specific; keep local (specialized domain)"
woocommerce-gravity-forms-configuration,1,"woo-config-agent",agent-attached,Tier 2,N/A,no,—,—,"WooCommerce-specific; keep local (specialized domain)"
tour-operator-gravity-forms-auditor,1,"tour-operator-config-agent",agent-attached,Tier 2,N/A,no,—,—,"Tour operator-specific; keep local (specialized domain)"
tour-operator-gravity-forms-configuration,1,"tour-operator-config-agent",agent-attached,Tier 2,N/A,no,—,—,"Tour operator-specific; keep local (specialized domain)"
wordpress-audit-reporting,1,"wp-config-agent",agent-attached,Tier 2,N/A,no,—,—,"WordPress-specific; keep local (specialized domain)"
wordpress-launch-readiness,1,"wp-config-agent",agent-attached,Tier 2,N/A,no,—,—,"WordPress-specific; keep local (specialized domain)"
yoast-auditor,1+,"wp-config-agent, tour-operator-config-agent",agent-attached,Tier 2,N/A,no,—,—,"WordPress-specific; keep local (specialized domain)"
yoast-configuration,1+,"wp-config-agent, tour-operator-config-agent",agent-attached,Tier 2,N/A,no,—,—,"WordPress-specific; keep local (specialized domain)"
proposal-intake,1,"proposal-desk-agent",agent-attached,Tier 2,N/A,no,—,—,"Proposal-specific; keep local (specialized domain)"
proposal-rfp-response,1,"proposal-desk-agent",agent-attached,Tier 2,N/A,no,—,—,"Proposal-specific; keep local (specialized domain)"
evidence-claims-check,1,"proposal-desk-agent",agent-attached,Tier 2,N/A,no,—,—,"Proposal-specific; keep local (specialized domain)"
content-strategy-generator,1,"website-content-strategist-agent",agent-attached,Tier 2,N/A,no,—,—,"Content strategy; keep local (specialized domain)"
seo-auditor,1,"website-content-strategist-agent",agent-attached,Tier 2,N/A,no,—,—,"SEO auditing; keep local (specialized domain)"
topic-cluster-builder,1,"website-content-strategist-agent",agent-attached,Tier 2,N/A,no,—,—,"Content clustering; keep local (specialized domain)"
scope-analyzer,1,"website-scope-estimator-agent",agent-attached,Tier 2,N/A,no,—,—,"Scope estimation; keep local (specialized domain)"
effort-estimator,1,"website-scope-estimator-agent",agent-attached,Tier 2,N/A,no,—,—,"Effort estimation; keep local (specialized domain)"
website-auditor,1,"client-website-discovery-assistant-agent",agent-attached,Tier 2,N/A,no,—,—,"Website discovery; keep local (specialized domain)"
feature-gap-analyzer,1,"client-website-discovery-assistant-agent",agent-attached,Tier 2,N/A,no,—,—,"Gap analysis; keep local (specialized domain)"
ai-capability-evaluator,1,"ai-readiness-estimator-agent",agent-attached,Tier 2,N/A,no,—,—,"AI readiness assessment; keep local (specialized domain)"
business-impact-analyzer,1,"ai-readiness-estimator-agent",agent-attached,Tier 2,N/A,no,—,—,"Business impact; keep local (specialized domain)"
response-drafter,1,"zendesk-support-agent",agent-attached,Tier 2,N/A,no,—,—,"Support response drafting; keep local (specialized domain)"
ticket-analyzer,1,"zendesk-support-agent",agent-attached,Tier 2,N/A,no,—,—,"Ticket analysis; keep local (specialized domain)"
sentiment-analyzer,1,"zendesk-support-agent",agent-attached,Tier 2,N/A,no,—,—,"Sentiment analysis; keep local (specialized domain)"
