skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
linear-app-skill-creator,linear-app-skill-creator,"Create, update, validate, and improve chatgpt skills for Linear workflows.",agent-attached,/root/.codex/skills/hermes/linear-app-skill-creator,unknown,true,true,true,fully exported,skills/agent-attached/linear-app-skill-creator,Readable local folder exported; files successfully exported: 3.
linear-skill-intake-onboarding,linear-skill-intake-onboarding,Collect first-run user defaults needed to create reusable Linear workflow skills.,agent-attached,/root/.codex/skills/hermes/linear-skill-intake-onboarding,unknown,true,true,true,fully exported,skills/agent-attached/linear-skill-intake-onboarding,Readable local folder exported; files successfully exported: 3.
markdown-output-formatter,markdown-output-formatter,Format responses with a consistent markdown structure for Linear skill-factory work.,agent-attached,/root/.codex/skills/hermes/markdown-output-formatter,unknown,true,true,true,fully exported,skills/agent-attached/markdown-output-formatter,Readable local folder exported; files successfully exported: 3.
linear-unplanned-work-intake-audit,linear-unplanned-work-intake-audit,"Audit how bugs, requests, and feedback enter Linear and recommend a stronger intake flow.",agent-attached,/root/.codex/skills/hermes/linear-unplanned-work-intake-audit,unknown,true,true,true,fully exported,skills/agent-attached/linear-unplanned-work-intake-audit,Readable local folder exported; files successfully exported: 3.
linear-triage-sop-builder,linear-triage-sop-builder,"Create a repeatable team SOP for reviewing, classifying, and deciding new Linear triage issues.",agent-attached,/root/.codex/skills/hermes/linear-triage-sop-builder,unknown,true,true,true,fully exported,skills/agent-attached/linear-triage-sop-builder,Readable local folder exported; files successfully exported: 3.
linear-triage-rules-designer,linear-triage-rules-designer,"Design Linear triage systems, including reusable routing logic and priority rules.",agent-attached,/root/.codex/skills/hermes/linear-triage-rules-designer,unknown,true,true,true,fully exported,skills/agent-attached/linear-triage-rules-designer,Readable local folder exported; files successfully exported: 3.
linear-duplicate-management-playbook,linear-duplicate-management-playbook,Create a practical process for detecting duplicates and choosing a canonical Linear issue.,agent-attached,/root/.codex/skills/hermes/linear-duplicate-management-playbook,unknown,true,true,true,fully exported,skills/agent-attached/linear-duplicate-management-playbook,Readable local folder exported; files successfully exported: 3.
linear-the-architect,linear-the-architect,"Rewrite rough notes, vague requests, and messy issue drafts into concrete Linear-style tasks.",agent-attached,/root/.codex/skills/hermes/linear-the-architect,unknown,true,true,true,fully exported,skills/agent-attached/linear-the-architect,Readable local folder exported; files successfully exported: 3.
linear-gap-analyzer,linear-gap-analyzer,"Identify missing information in Linear issues, bug reports, handoff notes, and intake material.",agent-attached,/root/.codex/skills/hermes/linear-gap-analyzer,unknown,true,true,true,fully exported,skills/agent-attached/linear-gap-analyzer,Readable local folder exported; files successfully exported: 3.
linear-momentum-auditor,linear-momentum-auditor,"Review Linear work for blocked, stale, or momentum-killing issues.",agent-attached,/root/.codex/skills/hermes/linear-momentum-auditor,unknown,true,true,true,fully exported,skills/agent-attached/linear-momentum-auditor,Readable local folder exported; files successfully exported: 3.
linear-decision-logger,linear-decision-logger,"Capture durable Linear-related decisions, reasoning, and update logic for future runs.",agent-attached,/root/.codex/skills/hermes/linear-decision-logger,unknown,true,true,true,fully exported,skills/agent-attached/linear-decision-logger,Readable local folder exported; files successfully exported: 3.
linear-voice-of-customer,linear-voice-of-customer,Turn customer-facing signals into planning-ready Linear problem statements and recommendations.,agent-attached,/root/.codex/skills/hermes/linear-voice-of-customer,unknown,true,true,true,fully exported,skills/agent-attached/linear-voice-of-customer,Readable local folder exported; files successfully exported: 3.
linear-triage-router,linear-triage-router,"Suggest the right team, label, priority, ownership direction, and routing path for new Linear work.",agent-attached,/root/.codex/skills/hermes/linear-triage-router,unknown,true,true,true,fully exported,skills/agent-attached/linear-triage-router,Readable local folder exported; files successfully exported: 3.
linear-sub-issue-splitter,linear-sub-issue-splitter,Break large or overloaded Linear work into smaller concrete sub-issues.,agent-attached,/root/.codex/skills/hermes/linear-sub-issue-splitter,unknown,true,true,true,fully exported,skills/agent-attached/linear-sub-issue-splitter,Readable local folder exported; files successfully exported: 3.
linear-project-pulse,linear-project-pulse,Synthesize a concise project status takeaway from Linear context.,agent-attached,/root/.codex/skills/hermes/linear-project-pulse,unknown,true,true,true,fully exported,skills/agent-attached/linear-project-pulse,Readable local folder exported; files successfully exported: 3.
linear-memory-maintenance,linear-memory-maintenance,"Read, update, or skip durable Memory for Linear-focused task preferences and rules.",agent-attached,/root/.codex/skills/hermes/linear-memory-maintenance,unknown,true,true,true,fully exported,skills/agent-attached/linear-memory-maintenance,Readable local folder exported; files successfully exported: 4.
github:gh-address-comments,gh-address-comments,Address actionable GitHub pull request review feedback.,plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/gh-address-comments,unknown,true,true,true,fully exported,skills/plugin-provided/github__gh-address-comments,Readable local folder exported; files successfully exported: 6.
github:gh-fix-ci,gh-fix-ci,Debug or fix failing GitHub PR checks that run in GitHub Actions.,plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/gh-fix-ci,unknown,true,true,true,fully exported,skills/plugin-provided/github__gh-fix-ci,Readable local folder exported; files successfully exported: 6.
github:github,github,"Triage and orient GitHub repository, pull request, and issue work through the connected GitHub app.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/github,unknown,true,true,true,fully exported,skills/plugin-provided/github__github,Readable local folder exported; files successfully exported: 4.
github:yeet,yeet,"Publish local changes to GitHub by confirming scope, committing, pushing, and opening a draft PR.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/yeet,unknown,true,true,true,fully exported,skills/plugin-provided/github__yeet,Readable local folder exported; files successfully exported: 5.
google-drive:google-docs,google-docs,Connector-first Google Docs creation and editing.,plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-docs,unknown,true,true,true,fully exported,skills/plugin-provided/google-drive__google-docs,Readable local folder exported; files successfully exported: 19.
google-drive:google-drive,google-drive,"Use connected Google Drive as the single entrypoint for Drive, Docs, Sheets, and Slides work.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-drive,unknown,true,true,true,fully exported,skills/plugin-provided/google-drive__google-drive,Readable local folder exported; files successfully exported: 10.
google-drive:google-drive-comments,google-drive-comments,"Write, reply to, and resolve Google Drive comments.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-drive-comments,unknown,true,true,true,fully exported,skills/plugin-provided/google-drive__google-drive-comments,Readable local folder exported; files successfully exported: 2.
google-drive:google-sheets,google-sheets,Analyze and edit connected Google Sheets with range precision.,plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-sheets,unknown,true,true,true,fully exported,skills/plugin-provided/google-drive__google-sheets,Readable local folder exported; files successfully exported: 11.
google-drive:google-slides,google-slides,"Google Slides work for finding, reading, summarizing, creating, importing, and editing decks.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-slides,unknown,true,true,true,fully exported,skills/plugin-provided/google-drive__google-slides,Readable local folder exported; files successfully exported: 19.
linear:linear,linear,"Manage issues, projects and team workflows in Linear.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/linear/local/skills/linear,unknown,true,true,true,fully exported,skills/plugin-provided/linear__linear,Readable local folder exported; files successfully exported: 5.
slack:slack,slack,"Read Slack context, route to the right Slack workflow, and prepare or perform Slack writes.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/slack/local/skills/slack,unknown,true,true,true,fully exported,skills/plugin-provided/slack__slack,Readable local folder exported; files successfully exported: 5.
slack:slack-channel-summarization,slack-channel-summarization,Summarize activity from one Slack channel.,plugin-provided,/root/.codex/plugins/cache/openai-marketplace/slack/local/skills/slack-channel-summarization,unknown,true,true,true,fully exported,skills/plugin-provided/slack__slack-channel-summarization,Readable local folder exported; files successfully exported: 4.
slack:slack-daily-digest,slack-daily-digest,Create a daily Slack digest from selected channels or topics.,plugin-provided,/root/.codex/plugins/cache/openai-marketplace/slack/local/skills/slack-daily-digest,unknown,true,true,true,fully exported,skills/plugin-provided/slack__slack-daily-digest,Readable local folder exported; files successfully exported: 4.
slack:slack-notification-triage,slack-notification-triage,Triage recent Slack activity into a priority queue or task list.,plugin-provided,/root/.codex/plugins/cache/openai-marketplace/slack/local/skills/slack-notification-triage,unknown,true,true,true,fully exported,skills/plugin-provided/slack__slack-notification-triage,Readable local folder exported; files successfully exported: 4.
slack:slack-outgoing-message,slack-outgoing-message,"Compose, draft, or refine outbound Slack content.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/slack/local/skills/slack-outgoing-message,unknown,true,true,true,fully exported,skills/plugin-provided/slack__slack-outgoing-message,Readable local folder exported; files successfully exported: 4.
slack:slack-reply-drafting,slack-reply-drafting,Draft Slack replies from available context.,plugin-provided,/root/.codex/plugins/cache/openai-marketplace/slack/local/skills/slack-reply-drafting,unknown,true,true,true,fully exported,skills/plugin-provided/slack__slack-reply-drafting,Readable local folder exported; files successfully exported: 4.
