Issue #,Title,Type Labels,Area Labels,Status Labels,Priority Labels,Assignees,Milestone,Gaps
1705,"fix: handle-needs-triage.test.js API mismatch — detectArea function missing",type:bug,area:tests,status:needs-more-info,priority:high,,,assignee;milestone;pr-link
1702,"New Workflows Added to Badge Schema",type:task,area:automation,,,,,status;priority;assignee;milestone
1701,"🏥 Badge Health Check - 26 Broken Links",type:task,area:automation,,priority:important,,,status;assignee;milestone
1687,"Task: Phase 4 - Implement Tier 3 Handlers + Complete Test Suite & Documentation",type:task,area:automation,status:needs-more-info,priority:normal,ashleyshaw,,milestone
1686,"Task: Phase 3 - Implement Tier 2 Handlers (review, dev, planning)",type:task,area:automation,status:needs-more-info,priority:important,ashleyshaw,,milestone
1685,"Task: Phase 2.3 - Integrate Tier 1 Handlers into Orchestrator",type:task,area:automation,status:needs-more-info,priority:critical,ashleyshaw,,milestone
1682,"Task: Phase 1.2 - Document Audit Results & Gap Analysis",type:task,area:automation,status:needs-more-info,priority:critical,ashleyshaw,,milestone
1681,"Task: Phase 1.1 - Create Issue Metadata Audit Script",type:task,area:automation,status:needs-more-info,priority:critical,ashleyshaw,,milestone
1680,"Epic: Issue Metadata Triage Expansion (Phases 0-4)",type:epic,area:automation,status:needs-more-info,priority:critical,ashleyshaw,,milestone
1677,"Phase 5: Integration Testing & Closure - GitHub Actions v7",type:task,area:ci,,priority:medium,ashleyshaw,,status;milestone
1676,"Phase 4: Consistency & Final Validation - GitHub Actions v7",type:task,area:ci,,priority:medium,ashleyshaw,,status;milestone
1675,"Phase 3C: Site Generation Workflow Upgrade - GitHub Actions v7",type:task,area:ci,,priority:medium,ashleyshaw,,status;milestone
1674,"Phase 3B: Release & Template Workflows Upgrade - GitHub Actions v7",type:task,area:ci,,priority:high,ashleyshaw,,status;milestone
1673,"Phase 3A: Automation Workflows Upgrade - GitHub Actions v7",type:task,area:ci,,priority:high,ashleyshaw,,status;milestone
1671,"Phase 1: Audit & Planning - GitHub Actions v7 Upgrade",type:task,area:ci,status:done,,ashleyshaw,,priority;milestone
1657,"Actions Minutes Savings Report (Auto)",,,,,,,type;area;status;priority;assignee;milestone
1655,"CHILD-013: Phase 4 completion and project summary",type:task,,status:needs-triage,priority:high,ashleyshaw,,area;milestone
1654,"CHILD-012: Document badge update policy and procedures",type:documentation,,status:needs-triage,priority:medium,ashleyshaw,,area;milestone
1653,"CHILD-011: Create badge coverage and health monitoring dashboard",type:documentation,,status:needs-triage,priority:medium,ashleyshaw,,area;milestone
1640,"[PHASE-4] Implement Stacked PR Release Workflow (PR #1→develop, PR #2→main)",type:feature,area:release,status:needs-triage,priority:important,,,assignee;milestone
1626,"fix: Safe Footer Injection tests failing — frontmatter extraction",type:bug,area:ci,status:needs-triage,priority:important,ashleyshaw,,milestone;pr-link
1623,"MILESTONE: Repository Restructuring Phases 1-3 Complete",type:task,,status:needs-triage,priority:normal,ashleyshaw,,area;milestone
1622,"Fix broken CI validation workflows (PRIORITY)",type:task,area:ci,status:needs-triage,priority:critical,ashleyshaw,,milestone
1621,"Fix pre-existing test failures blocking CI",type:bug,area:ci,status:needs-triage,priority:normal,ashleyshaw,,milestone;pr-link
1607,"Phase 5: Team Training (ongoing)",type:task,area:labels,status:needs-triage,priority:normal,ashleyshaw,,milestone
1606,"Phase 4: Documentation Updates (ongoing)",type:documentation,area:labels,status:needs-triage,priority:normal,ashleyshaw,,milestone
1605,"Phase 3: Enforce Label Validation (3-5 days)",type:task,area:ci;area:labels,status:needs-triage,priority:high,ashleyshaw,,milestone
1604,"Phase 2: Fix Existing Label Prefix Violations (24-48 hrs)",type:task,area:labels,status:needs-triage,priority:high,ashleyshaw,,milestone
1599,"Phase 4: Validation & Testing — Repository Restructuring",type:task,area:infrastructure,status:ready,priority:important,ashleyshaw,,milestone
1597,"Complete PR #1534 governance feedback - content reconciliation",type:documentation,area:documentation,status:needs-review,priority:medium,ashleyshaw,,milestone
1594,"Phase 3A Validation Fixes — Instructions Migration Follow-up",type:task,area:infrastructure,status:ready,priority:important,ashleyshaw,v1.0,
1593,"Phase 3 Copilot Review Fixes — Unapplied Recommendations",type:task,area:infrastructure,status:ready,priority:important,ashleyshaw,,milestone
1590,"[CHILD-010] Improve Release Notes Preview for Dry-Runs",type:task;type:documentation,area:release,status:ready,priority:important,ashleyshaw,,milestone
1589,"[CHILD-009] Fix Trigger Telemetry Authorization",type:bug;type:task,area:release,status:ready,priority:important,ashleyshaw,,milestone;pr-link
1588,"[CHILD-008] Create Rollback.cjs Automation",type:bug;type:task,area:release,status:ready,priority:important,ashleyshaw,,milestone;pr-link
1587,"[CHILD-007] Enforce Pre-Release Checklist in Workflow",type:bug;type:task,area:release,status:ready,priority:important,ashleyshaw,,milestone;pr-link
1586,"[CHILD-006] Change Dry-Run Default",type:task;type:documentation,area:release,status:ready,priority:important,ashleyshaw,,milestone
1585,"[CHILD-005] Clarify Changelog Validation Timing",type:task;type:documentation,area:release,status:ready,priority:important,ashleyshaw,,milestone
1584,"[CHILD-004] Implement Post-Release Sync (develop ← main)",type:task,area:release,status:ready,priority:important,ashleyshaw,,milestone
1580,"[CHILD-047] Team Training & Documentation",type:documentation;type:test,area:testing;area:release,status:ready,priority:normal,ashleyshaw,,milestone
1579,"[CHILD-046] Test Rollback Procedure",type:test,area:testing;area:release,status:ready,priority:normal,ashleyshaw,,milestone
1578,"[CHILD-045] Test Hotfix Flow",type:test,area:testing;area:release,status:ready,priority:normal,ashleyshaw,,milestone
1577,"[CHILD-044] Test Theme Release Workflow",type:test,area:testing;area:release,status:ready,priority:normal,ashleyshaw,,milestone
1576,"[CHILD-043] Test Plugin Release Workflow",type:test,area:testing;area:release,status:ready,priority:normal,ashleyshaw,,milestone
1575,"[CHILD-042] Test Live Minor Release (Control Plane)",type:test,area:testing;area:release,status:ready,priority:normal,ashleyshaw,,milestone
1574,"[CHILD-041] Test Live Patch Release (Control Plane)",type:test,area:testing;area:release,status:ready,priority:normal,ashleyshaw,,milestone
1573,"[CHILD-040] Test Dry-Run Release Workflow",type:test,area:testing;area:release,status:ready,priority:normal,ashleyshaw,,milestone
1572,"[CHILD-032] Add CI Validation for Docs/Code Alignment",type:documentation,area:documentation;area:automation;area:release,status:ready,priority:normal,ashleyshaw,,milestone
1571,"[CHILD-031] Fix Broken Badges in Docs",type:documentation,area:documentation;area:automation;area:release,status:ready,priority:normal,ashleyshaw,v1.0,
1570,"[CHILD-030] Create RELEASE_WORDPRESS.md",type:documentation,area:documentation;area:automation;area:release,status:ready,priority:normal,ashleyshaw,v1.0,
1569,"[CHILD-029] Update CHANGELOG_AUTOMATION.md",type:documentation,area:documentation;area:release,status:ready,priority:normal,ashleyshaw,v1.0,
1568,"[CHILD-028] Update BRANCHING_STRATEGY.md Alignment",type:documentation,area:documentation;area:release,status:ready,priority:normal,ashleyshaw,v1.0,
1567,"[CHILD-027] Rewrite RELEASE_PROCESS.md",type:documentation,area:documentation;area:release,status:ready,priority:normal,ashleyshaw,v1.0,
1566,"[CHILD-026] Add WordPress Theme Version Handling",type:documentation;type:automation,area:automation;area:release,status:ready,priority:normal,ashleyshaw,v1.0,
1565,"[CHILD-025] Add WordPress Plugin Version Handling",type:documentation;type:automation,area:automation;area:release,status:ready,,ashleyshaw,v1.0,priority
1564,"[CHILD-024] Build Portable Changelog Agent (agents/changelog/)",type:documentation;type:automation,area:automation;area:release,status:ready,,ashleyshaw,v1.0,priority
1563,"[CHILD-023] Build Portable Release Agent (agents/release/)",type:documentation;type:automation,area:automation;area:release,status:ready,,ashleyshaw,,priority;milestone
1562,"[CHILD-022] Create rollback.cjs Automation",type:automation,area:automation;area:release,status:ready,,ashleyshaw,v1.0,priority
1560,"[CHILD-020] Update release.yml Workflow",type:automation,area:automation;area:release,status:ready,priority:normal,ashleyshaw,v1.0,
1558,"[CHILD-016] Documentation Reorganization Plan",type:task;type:documentation;type:design,area:release,status:needs-planning,,ashleyshaw,v1.0,priority
1557,"[CHILD-015] WordPress Plugin/Theme Support Specification",type:task;type:design,area:release,status:needs-planning,,ashleyshaw,v1.0,priority
1556,"[CHILD-014] Changelog Agent Specification",type:bug;type:task;type:design,area:release,status:needs-planning,,ashleyshaw,v1.0,priority;pr-link
1555,"[CHILD-013] Release Agent Specification (Portable, Multi-Repo)",type:bug;type:task;type:design,area:release,status:needs-planning,,ashleyshaw,v1.0,priority;pr-link
1554,"[CHILD-012] Create Architecture Diagrams & Workflow YAML",type:task;type:design,area:release,status:needs-planning,,ashleyshaw,v1.0,priority
1553,"[CHILD-011] Generate Requirements Specification (From OpenSpec)",type:task;type:design,area:release,status:needs-planning,priority:normal,ashleyshaw,v1.0,
1552,"[CHILD-003] Remove Broken Workflow Badges",type:task;type:documentation,area:release,status:ready,priority:critical,ashleyshaw,,milestone
1551,"[CHILD-002] Fix Release Flow Architecture",type:task,area:release,status:ready,priority:critical,ashleyshaw,,milestone
1550,"[CHILD-001] Fix Authorization Gating Failure",type:task,area:release,status:ready,priority:critical,ashleyshaw,,milestone
1546,"[EPIC] Release Process Redesign & Multi-Repo Support",type:epic,area:release,status:needs-triage,priority:critical,ashleyshaw,v1.0,
1542,"Phase 3B: Schema consolidation completion & path consistency",type:task,area:infrastructure,status:needs-triage,priority:medium,ashleyshaw,,milestone
1535,"Phase 3: Execute File Migrations & Reference Updates (#1296)",type:task,area:documentation,status:ready,priority:high,ashleyshaw,v1.0,
1532,"Repository-wide Mermaid accessibility compliance",type:documentation;type:a11y,,status:needs-triage,priority:normal,ashleyshaw,,area;milestone
1524,"Create integration tests for Phase 3 labeling automation",type:task,area:automation,,priority:normal,ashleyshaw,v1.0,status
1523,"Post-merge governance refinements for PR #1502",type:task,area:governance,,priority:normal,ashleyshaw,v1.0,status
1522,"Create CHANGELOG entry for PR #1488",type:documentation,area:documentation,status:ready,priority:normal,ashleyshaw,v1.0,
1521,"Apply feedback from PR #1488 governance validation review",type:task,area:governance,,priority:normal,ashleyshaw,v1.0,status
1520,"Create CHANGELOG entry for PR #1384",type:documentation,area:documentation,,priority:normal,ashleyshaw,v1.0,status
1515,"chore: Post-Merge Governance Refinements (PR #1502)",type:documentation,,status:ready,priority:normal,ashleyshaw,v1.0,area
1512,"chore: fix unused error variable warnings (underscore prefix convention)",type:bug,,status:ready,priority:normal,ashleyshaw,v1.0,area;pr-link
1511,"docs: fix markdown linting errors in DECISIONS_FRAMEWORK document",type:bug,,status:ready,priority:normal,ashleyshaw,v1.0,area;pr-link
1507,"epic: pre-existing validation errors cleanup (3 child issues)",type:bug,,status:needs-triage,priority:normal,ashleyshaw,v1.0,area;pr-link
1497,"fix: correct ERE regex pattern in PR merge governance validator",type:bug,area:ci,status:needs-triage,priority:high,ashleyshaw,,milestone;pr-link
1489,"fix: PR #1488 governance validation hook has regex bug + process workflow gaps",type:bug,area:governance,status:ready,priority:high,ashleyshaw,v1.0,pr-link
1478,"test: cleanup on close",type:bug,,status:needs-triage,priority:normal,ashleyshaw,v1.0,area;pr-link
1477,"test(labeling): cleanup status-needs-triage on close",,,,priority:normal,ashleyshaw,v1.0,type;area;status
1476,"test(labeling): HIGH PRIORITY detection in issues",,,,priority:normal,ashleyshaw,v1.0,type;area;status
1471,"test(labeling-governance): feature issue receives type:feature label",type:feature,,,priority:normal,ashleyshaw,v1.0,area;status;pr-link
1470,"test(labeling-governance): bug issue receives type:bug label",type:bug,,,priority:normal,ashleyshaw,v1.0,area;status;pr-link
1463,"Phase 2A — Script Organization Audit & Classification (#1461)",type:task,,status:ready,priority:normal,ashleyshaw,v1.0,area
1448,"Fix broken relative links in repo-restructuring project docs",type:epic;type:bug,area:documentation,status:ready,priority:normal,ashleyshaw,v1.0,pr-link
1447,"Phase 1: Repository Restructuring - PR #1446 Review & Merge Tracking",type:bug,,status:ready,priority:normal,ashleyshaw,v1.0,area;pr-link
1438,"Phase 0: Repository Restructuring Preflight",type:documentation,,,priority:normal,ashleyshaw,,area;status;milestone
1431,"Node.js 22 Upgrade — Post-Merge Monitoring (3 Days)",type:epic,area:infrastructure,,priority:normal,ashleyshaw,v1.0,status
1429,"Post-Merge Monitoring — Day 2: Spot-Check & Performance",type:task,area:infrastructure,,priority:normal,ashleyshaw,v1.0,status
1428,"Post-Merge Monitoring — Day 1: Workflow Monitoring & Edge Cases",type:task,area:infrastructure,,priority:normal,ashleyshaw,v1.0,status
1411,"Phase 4.6: Consolidate issue-remediation-bulk.yml + issue-health-audit.yml into issue-audit-remediation.yml",type:refactor,,status:ready;status:ready-for-development,priority:medium,ashleyshaw,v1.0,area
1410,"Phase 4.5: Delete issue-create-from-template.yml (superseded by issue-create-enhanced.yml)",type:chore,,status:ready;status:ready-for-development,priority:low,ashleyshaw,v1.0,area
1409,"Phase 4.4: Absorb flaky-test-detection.yml into checks.yml",type:refactor,,status:ready;status:ready-for-development,priority:low,ashleyshaw,v1.0,area
1408,"Phase 4.3: Unify project field sync workflows into project-field-sync.yml",type:refactor,,status:ready;status:ready-for-development,priority:medium,ashleyshaw,v1.0,area
1407,"Phase 4.2: Consolidate issue-close governance workflows into issue-compliance.yml",type:refactor,,status:ready;status:ready-for-development,priority:medium,ashleyshaw,v1.0,area
1406,"Phase 4.1: Delete deprecated workflows — validate-mermaid-pr.yml & metrics-pipeline.yml",type:chore,,status:ready;status:ready-for-development,priority:low,ashleyshaw,v1.0,area
1398,"Global DoD checklist gate requires ticking boxes that cannot yet be true — support N/A or exempt machine-checked rows",type:improve,area:automation,,priority:normal,ashleyshaw;ZaredRogers,v1.0,status
1397,"Align config parity between ls-starter-plugin and ls-starter-theme",type:task,area:maintenance,,priority:minor,eleshar;ashleyshaw,v1.0,status
1396,"Plugin advisories: native replacements, Gravity Forms usage and hosting-stack guidance",type:documentation,area:documentation,,priority:important,eleshar;ashleyshaw,v1.0,status
1395,"fix(validation): schema paths resolve outside the repo — test:js red on develop, blocking all pushes, PR checks and releases",type:bug,area:automation,,priority:high,ashleyshaw;ZaredRogers,v1.0,status;pr-link
1394,"audit(agents): checksums.sha256 manifests provide false integrity assurance — decide org-wide policy and remediate all 15",type:audit,,,priority:normal,ashleyshaw;ZaredRogers,v1.0,area;status
1374,"Actions Minutes Savings Report (Auto)",type:automation,,,,ashleyshaw,,area;status;priority;milestone
1363,"[Phase 3.4] Code Review & Merge — PR #1319",type:security,,,priority:normal,ashleyshaw,v1.0,area;status
1358,"Phase 3C: Validation & Monitoring — Agent & Skills Standards",type:task;type:standards,area:documentation,,priority:medium,ashleyshaw,v1.0,status
1357,"Phase 3B: Release Preparation — Agent & Skills Standards",type:task;type:standards,area:documentation,,priority:high,ashleyshaw,v1.0,status
1356,"Phase 3A: Governance Integration — Agent & Skills Standards",type:task,area:documentation,,priority:high,ashleyshaw,v1.0,status
1355,"Phase 2B Phase C W12-1: Create Phase 2B Phase C completion PR",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1354,"Phase 2B Phase C W10-1: Comprehensive integration testing",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1353,"Phase 2B Phase C W8-7: Archive obsolete skills",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1352,"Phase 2B Phase C W8-6: Create Phase D plan (skills governance)",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1351,"Phase 2B Phase C W8-5: Document Figma version strategy",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1350,"Phase 2B Phase C W8-4: Create skill tier matrix",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1349,"Phase 2B Phase C W8-3: Document override patterns in AGENTS.md",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1348,"Phase 2B Phase C W8-2: Comprehensive agent boot testing",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1347,"Phase 2B Phase C W8-1: Standardize plugin skill naming",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1346,"Phase 2B Phase C W7-C6: Consolidate woo-config-agent with WordPress accessibility override",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1345,"Phase 2B Phase C W7-C5: Consolidate proposal-desk-agent to Tier 0",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1344,"Phase 2B Phase C W7-C4: Consolidate playwright-testing-agent to Tier 0",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1343,"Phase 2B Phase C W7-C3: Consolidate pagespeed-agent to Tier 0",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1342,"Phase 2B Phase C W7-C2: Consolidate harvest-analytical-agent to Tier 0",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1341,"Phase 2B Phase C W7-C1: Consolidate design-partner-agent after Figma audit",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1340,"Phase 2B Phase C W6-B5: Consolidate wp-config-agent with WordPress accessibility override",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1339,"Phase 2B Phase C W6-B4: Consolidate tour-operator-config-agent with WordPress accessibility override",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1338,"Phase 2B Phase C W6-B3: Consolidate prd-factory-planner-agent and apply override configs",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1337,"Phase 2B Phase C W6-B2: Consolidate prd-agent and apply override configs",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1336,"Phase 2B Phase C W6-B1: Consolidate linear-advisor-agent",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1335,"Phase 2B Phase C W6-A5: Consolidate client-website-discovery-assistant-agent to Tier 0",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1334,"Phase 2B Phase C W6-A4: Consolidate zendesk-support-agent to Tier 0",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1333,"Phase 2B Phase C W6-A3: Consolidate website-scope-estimator-agent to Tier 0",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1332,"Phase 2B Phase C W6-A2: Consolidate website-content-strategist-agent to Tier 0",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1331,"Phase 2B Phase C W6-A1: Consolidate ai-readiness-estimator-agent to Tier 0",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1330,"Phase 2B Phase C W5-6: Assess design-partner Hermes integration",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1329,"Phase 2B Phase C W5-5: PRD Agent Consolidation Decision (Stakeholder Alignment)",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1328,"Phase 2B Phase C W5-4: Move plugin-creator, skill-creator, and skill-installer to Tier 0",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1327,"Phase 2B Phase C W5-3: Create skills/frontend-skill (Tier 0)",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1326,"Phase 2B Phase C W5-2: Implement Override System Template",type:task,area:ai,status:ready,priority:high,ashleyshaw,v1.0,
1325,"Phase 3.4: Code Review & Merge Phase 3 Changes",type:task,area:ci,status:ready,priority:normal,ashleyshaw,v1.0,
1323,"Phase 3.2: Integration Testing — Labeling Workflows",type:task,area:testing,status:ready,priority:normal,ashleyshaw,v1.0,
1321,"W5-1: Figma Skills Audit & Promotion Plan",type:task,area:ai,,priority:critical,ashleyshaw,v1.0,status
1320,"Phase 2B Phase C — Skills Consolidation Execution",type:epic,area:ai,,priority:critical,ashleyshaw,v1.0,status
1305,"Phase 2B Skills Audit — Complete Inventory (All 16 Agents, 377 Skills)",,area:core,status:ready,,ashleyshaw,v1.0,type;priority
1304,"Phase 2: Enhance 9 agent standards documentation with diagrams, examples, and cross-references",type:documentation,area:ai,,priority:normal,ashleyshaw,v1.0,status
1287,"P2: Make workflow tests read and validate actual workflow YAML files",,,,,ashleyshaw,v1.0,type;area;status;priority
1274,"Documentation Standards Phase 2-3: Enhancement, Validation & Merge",type:task,,,,ashleyshaw,v1.0,area;status;priority
1273,"Changelog Phase 3: Validation & Merge",type:task,area:documentation,,,ashleyshaw,v1.0,status;priority
1271,"Changelog Consolidation & Maintenance — Epic",type:task,area:documentation,,,ashleyshaw,v1.0,status;priority
1270,"AI Model & Runner References",type:documentation,,,,ashleyshaw,v1.0,area;status;priority
1269,"Event-Driven Hooks Patterns",type:documentation,,,,ashleyshaw,v1.0,area;status;priority
1268,"Plugin Architecture & Structure",type:documentation,,,,ashleyshaw,v1.0,area;status;priority
1267,"Prompt Engineering Standards",type:documentation,,,,ashleyshaw,v1.0,area;status;priority
1266,"Implementation Guides & Recipes",type:documentation,,,,ashleyshaw,v1.0,area;status;priority
1265,"Agentic Workflow Patterns",type:documentation,,,,ashleyshaw,v1.0,area;status;priority
1264,"Instruction File Standards",,,,,ashleyshaw,v1.0,type;area;status;priority
1263,"Shared Skills Creation & Reusability",type:task,,,,ashleyshaw,v1.0,area;status;priority
1262,"Agent Design & Folder Structure",type:documentation,,,,ashleyshaw,v1.0,area;status;priority
1261,"Epic: Agent & Skills Standards Comprehensive Documentation",type:epic,,,priority:normal,ashleyshaw,v1.0,area;status
1260,"GitHub Workflows Consolidation Initiative (31 → 25 workflows)",type:task,,,priority:normal,ashleyshaw,v1.0,area;status
1259,"Phase 2B Skills Architecture Audit (Comprehensive Skill Analysis)",type:audit,,,priority:normal,ashleyshaw,v1.0,area;status
1249,"Epic: Repository Maintenance Infrastructure Project ✅",type:epic,,,priority:normal,ashleyshaw,v1.0,area;status
1248,"PRD Combined Agent Project (Phase 2B)",type:task,,,priority:normal,ashleyshaw,v1.0,area;status
1247,"Document & Integrate milestone-planning-v1 Roadmap",type:task,area:automation,,priority:normal,ashleyshaw,v1.0,status
1246,"Active Projects: Tracking & Documentation Infrastructure",type:epic,area:automation,,priority:normal,ashleyshaw,v1.0,status
1245,"Create permanent maintenance documentation (BRANCH_CLEANUP.md + MAINTENANCE.md)",type:feature;type:documentation;type:maintenance,area:documentation,,priority:normal,ashleyshaw,v1.0,status;pr-link
1244,"Enhance cleanup-branches.js with categorization and --report-only mode",type:feature;type:automation;type:maintenance,,,priority:normal,ashleyshaw,v1.0,area;status;pr-link
1243,"Epic: Repository Maintenance & Branch Cleanup Automation",type:epic;type:feature;type:automation;type:maintenance,,,priority:normal,ashleyshaw,v1.0,area;status;pr-link
1242,"Epic: Repository Maintenance & Branch Cleanup Automation",type:epic,,,priority:normal,ashleyshaw,v1.0,area;status
1240,"Automation Integration (Workflows & Reports)",type:automation,,,priority:normal,ashleyshaw,v1.0,area;status
1239,"Cleanup Script Process Validation & Testing",type:test,,,priority:normal,ashleyshaw,v1.0,area;status
1238,"Repository Health Fixes (ESLint & .gitignore)",type:task,,,priority:normal,ashleyshaw,v1.0,area;status
1237,"Team Guidance & Branch Lifecycle Procedures",type:documentation,,,priority:normal,ashleyshaw,v1.0,area;status
1236,"Permanent Maintenance Documentation",type:documentation,,,priority:normal,ashleyshaw,v1.0,area;status
1235,"Automated Branch Cleanup Enhancement",type:automation,,,priority:normal,ashleyshaw,v1.0,area;status
1234,"Repository Maintenance Infrastructure (Phase 2B Project)",,,,,ashleyshaw,v1.0,type;area;status;priority
1233,"refactor: Extract template validation helpers to shared script",type:refactor,area:workflows,,,ashleyshaw,v1.0,status;priority
1232,"research(markdown-audit): Phase 3 — Long-Term Standardization & Quarterly Audits",,,,,ashleyshaw,v1.0,type;area;status;priority
1231,"chore: Remove legacy testing.yml (duplicate of checks.yml)",type:task,area:workflows,,,ashleyshaw,v1.0,status;priority
